ExternalURL,Title,Description,Date,ShortURL,ThumbnailPath,Body
https://www.blameless.com/incident-response/best-practices-pragmatic-incident-command,Blameless - Become a Master at Incident Command,Incidents are unplanned investments that surface valuable learnings for improvement.,2022-09-23,,./assets/splash/BLOG_Blameless_IM2022.png,
,Jeli.io <> Conf42 Incident Management 2022,Not Incidents. ‍Opportunities.,2022-09-22,2022-09-22-jeli-im-sponsor-announcement,./assets/splash/BLOG_Jeli_IM2022.png,"# Jeli: goodbye post-mortems, hello Opportunities to learn

We've lived it just as you do: Incidents happen, despite the best plans and practices. They rarely go as imagined. Afterwards, a hapless engineer gets assigned to run a post-mortem meeting. The meeting isn't fully attended. The resulting report gets filed away where few will read it.

Our decades of combined experience in incident analysis at Jeli tell us that teams need mission-critical tools to adapt to continuously changing complex systems. That's why we give away a free IR Bot and offer a [free trial package](https://www.jeli.io/pricing) for small companies that includes our Narrative Builder, timelines, tags, investigator notes and multi-channel support. These are the very basics every company should have.

### We think big about the little things

Response teams are made of people, not machines and apps. We know, with cross discipline research backing us up, that people on distributed teams need an environment that supports them in ways that lead to better performance, more productivity, and much higher job satisfaction. These go together. We've baked that into our company culture and our product.

What creates that productive environment for learning and improving?

- **Make everyone feel safe sharing the truths:** Team members need _psychological safety_ — the certainty that they can do their jobs, speak necessary truths, and have potentially challenging conversations without repercussions. [Amy Edmondson](https://amycedmondson.com/) at Harvard Business School is a leading author on the topic with more than 20 years of research. Learning, she says, happens when high performance expectations and psychological safety are combined. She provides this helpful X/Y infographic that resonates with us.

![](./assets/custom/jeli blog item 1.PNG)


_Infographic of how psychological safety and performance standards combine to create a Learning Zone. Source:_ [_Amy Edmondson_](https://amycedmondson.com/)_, Harvard Business School_

- **Share**** findings effectively:** Burying a retrospective report doesn't lead to improved performance, increased productivity, or a healthier work environment. Our [Conf42 keynote](https://www.conf42.com/Incident_Management_2022_Vanessa_Huerta_Granda_sharing_Incident_findings_effectively) by Jeli Solutions Engineer Vanessa Huerta Granda will get to the nuts and bolts of how to ensure that your learnings from incidents reach the most people and have the deepest impact. (For starters: craft a short abstract as your incident's elevator pitch. Use it to get those who didn't attend the retro to decide to learn more about the incident and get behind your proposed solutions.) Vanessa has a lot more to share — don't miss her talk!

- **Learn across incidents over time:** We call it cross-incident analysis, or XIA, in our work. Jeli's tools are designed and built knowing that incidents don't live independently of one another. They're best viewed as a connected series of events to be analyzed as a whole. Seeing incidents as part of a connected whole helps you avoid fixing one thing by breaking another, identify organizational contributing factors (code freezes!), and develop a long-term big picture of how best to deploy your organization's talent and budget — over time, a series of minor issues can wreak unseen havoc on costs.

### We want to learn with you

No one person or group has more than a fraction of the knowledge, experience and insights we share as a group, often without knowing it. We're always eager to connect and learn with others. Please join us for [Vanessa's keynote](https://www.conf42.com/Incident_Management_2022_Vanessa_Huerta_Granda_sharing_Incident_findings_effectively) and [get in touch](https://www.jeli.io/contact) to stay connected!

#### [Jeli.io](https://www.jeli.io) - Diamond Sponsor of [Conf42 Incident Management 2022](https://www.conf42.com/im2022)"
,FireHydrant <> Conf42 Incident Management 2022,Incident Management for every developer,2022-09-21,2022-09-21-firehydrant-im-sponsor-announcement,./assets/splash/BLOG_FireHydrant_IM2022.png,"#[FireHydrant](https://firehydrant.com) - Diamond Sponsor of [Conf42 Incident Management 2022](https://www.conf42.com/im2022)

Incidents impact everyone, not just SREs. FireHydrant gives teams the tools to maintain service catalogs, respond to incidents, communicate through status pages, and learn with retrospectives.

FireHydrant is represented at the conference by [Ryan McDonald](https://www.linkedin.com/in/ryan-mcdonald-251b6611) in the Opening Keynote [Incidents: the customer empathy workshop you never wanted](https://www.conf42.com/Incident_Management_2022_Ryan_McDonald_incidents_customer_empathy_workshop).

* [How FireHydrant Works](https://firehydrant.com/how-it-works)
* [Get started with a free account](https://app.firehydrant.io/registrations/new)
* [Talk with a FireHydrant Expert](https://firehydrant.com/demo)
* Look up the [pricing](https://firehydrant.com/pricing)
* Discover the [Blog](https://firehydrant.com/blog)

#### RSVP for free - [Conf42 Incident Management 2022](https://www.conf42.com/im2022#register)!"
,SREday 2022 - first in-person conference of its kind!,You’re so invited!,2022-09-05,2022-09-05-you-are-invited,./assets/splash/SREday2022_Splash.png,"#SREday 2022 - first in-person conference of its kind!

We are thrilled to announce the big news - Conf42 is launching its first SRE-focused in-person conference this September! There will be so much going on that I don’t even know where to start! Okay, step by step, let’s get structured here…

When?
September 15-16, 2022

Where?
Design District, Greenwich Peninsula, London SE10 0AX, United Kingdom

Who?
Ajuna Kyaruzi, Alayshia Knighten, Joyce Lin, Gunnar Grosch. Miko Pawlikowski and so many more fantastic speakers!

Why?
To learn, discuss, network and eat! 

You can check out the full schedule, see the topics of the talks and get your tickets [here](https://www.sreday.com). We hope to see you there!
"
,Rustlang 2022 event is here!,Appreciate the power of rust,2022-09-01,2022-09-01-the-power-of-rust,./assets/splash/RUST2022_Event_Splash.png,"#Rustlang 2022 event is here!
The leaves are starting to fall, the days become shorter and kids remember to take the two-month old sandwiches out of their backpacks… It’s September baby!

As always, we like to start strong. Let’s kick this new month off with some fresh, rusty knowledge! [Dmitriy Kovalenko](https://www.linkedin.com/in/dmtrkovalenko/) will be joining us to talk about the art of programmatic videos with rust. You will also learn how to go ‘all gain, no pain’ on abstractions from [Tim McNamara](https://www.linkedin.com/in/timmcnamaranz/). If you’re into Blockchain, we have something for you as well. [Andrei M. Marinica](https://www.linkedin.com/in/andrei-m-marinica-0b8a79b8/) will talk you through the process of ‘almost’ breaking rust in the blockchain environment. 

Sounds interesting? That was a rhetorical question, because “Duh, it does!”. All that quality content and much more is now available for you to work through in your own time. It’s time to get ‘rusty’!"
,How to Make SPA Apps SEO Friendly,a guest blogpost by Sammy Lin,2022-08-04,2022-08-04-spa-apps-seo-friendly,./assets/splash/SPA_Apps_SEO_friendly.PNG,"## How to Make SPA Apps SEO Friendly
The evolution of web apps has recently brought about an interesting twist. As developers became ever more reliant on client-side Javascript for creating dynamic web pages, a new pattern of development emerged. This new pattern was great for developers and clients alike.
However, Googlebot wasn’t so fond of it. This client heavy pattern, known as the single page application (SPA), essentially builds and renders an entire website on the client. In most cases, the only real work happening on the server is client-side API calls for data retrieval.

### Why Are SPAs Bad for SEO?
SPAs and SEO don’t always play well together, and it’s common for poorly configured [SPA
SEO](https://www.ohmycrawl.com/spa-seo) to rank poorly with Google or other search
engines. To understand why, we need a quick refresher on how an SPA works. SPAs use an
empty shell pattern, which means that an empty HTML shell is sent to the client at initial page
load.

### What the Client Receives When They Request an SPA
When you request a page that utilizes the SPA pattern of development, you’ll receive something that looks like this:
```
&lt;!DOCTYPE html&gt;
&lt;html&gt;
&lt;head&gt;
&lt;title&gt;Example SPA Shell&lt;/title&gt;
&lt;/head&gt;
&lt;body&gt;
&lt;div id=&#39;root&#39;&gt;
&lt;/div&gt;
&lt;script src=”/spa-script.js”&gt;&lt;/script&gt;
&lt;/body&gt;
&lt;/html&gt;
```

After the initial page load, the **spa-script.js** script is ran, which populates the `root div` tag
with all the guts of the site. This means the navigation bar, footer, images, and everything else
isn’t rendered until the browser finishes processing this script.
It’s a simple concept that works well at first glance. However, Google wants content fast, and
the extra time it takes to process all that Javascript before the content is displayed hurts page
rank for a number of Google SEO web metrics.

### Ways to Load Content More Efficiently in an SPA to Enhance SEO
SPA frameworks like React have devised a number of ways to increase SEO performance while
leveraging all the benefits that come with the SPA pattern. These techniques can be broken
down into 3 main categories:

1. CDN caching and prerendering services.
2. Dynamic loading.
3. Isomorphic development.

These techniques are often used in conjunction with one another to increase SEO performance,
which usually has the added benefit of enhancing user experience.
Let’s take a closer look at each technique and how they solve our SEO woes.

#### CDN Caching and Pre-Rendering Services
One popular and fairly simple technique is to utilize caching services, which saves a pre-
rendered copy of our SPA that is ready for the client (and search engines) to consume. This
improves SEO because the Javascript is already processed into static content, which is readily
available for crawler consumption.
The workflow for this solution looks something like this:

1. The SPA website is built and launched.
2. A prerender service such as prerender.io is used to store and serve a static “prerendered” copy of the website.
3. This new endpoint is configured with a CDN such as Cloudflare to serve the content even faster.

For small sites that utilize content that doesn’t change frequently, such as a blog or small business page, this solution works great. However, this option comes with limitations that make it a poor choice for sites more dynamic in nature.

The prerender.io service will only render your page one to three times per day. So, if you have
content that is changing rapidly, such as an auction site or social media platform, three renders
a day isn’t even close to keeping up with the rapidly changing data.

#### Dynamic Loading of Components
Most SPA frameworks come equipped with some form of dynamic or “lazy” loading
functionality. Since React is the most popular SPA framework to-date, we’ll use it for our
example.

When using React, code is broken up into components. Each component usually consists of
some bit of code that is eventually rendered into pure HTML. The problem is, all these
components are indiscriminately packaged up into a code bundle that’s processed on the client.
Instead of loading all of this code as one linear chunk, we can gain significant SEO performance
gains if we prioritize the order in which our code is loaded.
As an example, we can load our navigation bar and footer first, then load the body content
once these two components are rendered. This helps boost an SEO metric called first contentful
paint (FCP), which is an important Google ranking factor.
Here’s an example of what this would look like in a simple React implementation:

```
import React, { Suspense, lazy } from &#39;react&#39;;
import Navbar from &#39;./Navbar&#39;;
import Footer from &#39;./Footer&#39;;
 const MainContent = lazy(() =&gt; import(&#39;./MainContent&#39;));
 const App = () =&gt; {
        
    return(
        &lt;&gt;
            &lt;NavBar/&gt;
            &lt;Suspense fallback = {&lt;div&gt;Content is loading...&lt;/div&gt;}&gt;
                &lt;MainContent/&gt;

            &lt;/Suspense&gt;
            &lt;Footer/&gt;
        &lt;/&gt;
    );
    
}
 export default App;

```
As can be seen in the above code, we are importing the `lazy` and `Suspense` components from
the React framework. We then wrap our `MainContent` component, telling React to __only
load__ this component once all other components on the page are finished rendering.
This is a simple technique often overlooked by novice React developers that can significantly
increase SEO performance in React apps.

### Isomorphic Development for Increasing SEO Performance

Isomorphic development is just a fancy way of saying “what can be done on the client can also be done on the server.” In the case of React, this means that we can utilize React code on the server. This opens the door for two patterns of development that can increase SEO performance; static site generation (SSG) and server side rendering (SSR). Each technique can be defined as follows:

- **Static Site Generation (SSG)**: SSG is similar in concept to prerendering, but it is much more powerful. SSG is implemented by creating server code that renders all of your SPA code into pure HTML at build-time. This means the developer can code the entire site using a framework like React, then run a “build”, which essentially converts all that code into static HTML files which are then served from a hosting provider.
- **Server Side Rendering (SSR)**: SSR is similar to SSG because most of the work happens on the server. However, instead of everything being processed at build-time, it is processed at “run-time”, during each request that is made by the client. This means that when you request a page, the server converts all of the code into HTML on the fly, then sends the result to the client.

SSG is typically faster than SSR, but it comes with the same pitfalls as the prerendering option. Although SSG can handle more dynamic data than a prerendering service, you are still limited

by the number of builds your server can process before the overhead becomes too cumbersome. SSR is currently the most scalable solution because you can handle much of the rendering on the server real-time, while dictating which code you’d like to process on the client.

### Overview SPA Technology and SEO Implications

Leveraging SPA technology is beneficial for both the developer and end-user. For this reason, developers have worked hard to come up with solutions for the inherent SEO pitfalls of this design pattern.

The techniques mentioned in this article can be used to significantly increase SEO performance, while leveraging all the great features that come with SPA frameworks such as React. As usual, if the problem is understood, it can be overcome.

The SPA paradigm is here to stay. While it can be tricky understanding which implementation is best for you, the payoff is usually worth the hard work.

To learn more about Javascript SEO, visit [OhMyCrawl.com](https://www.ohmycrawl.com) for more information."
,Step into the Quantum World with us today!,The size does matter,2022-06-29,2022-06-29-quantum-world-2022,./assets/splash/QUANTUM2022_Event_Splash.png,"#Is there anything cooler than Quantum Computing?

Quantum Computing could be the most life-changing technology of our times. The processes that take years to perform now could be done in a matter of hours - that’s big! But there is a lot we don’t quite know how to figure out yet.

We went with quality rather than quantity this time and invited three absolutely brilliant speakers to introduce us to the world of Quantum Computing. We have [Sam Samuel](https://www.linkedin.com/in/louis-sam-samuel-6557295/), [Robert Slade](https://twitter.com/rslade) and [Radu Marginean](https://www.linkedin.com/in/radu-marginean-76ababa4/) on board! You will learn about the challenges in scaling quantum computers, the implications for their security and discover Uranium, the visual quantum computing platform.  

You don’t want to miss this! Your quantum experience is just one click away, so click away (pun intended)!

"
,Are you ready for SRE to get serious?,We have over 30 talks for you,2022-06-08,2022-06-08-sre-getting-serious,./assets/splash/SRE2022_Event_Splash.png,"#This time we went full on with the Site Reliability Engineering 2022 event!

We have 8 keynote speakers, including [Kurt Andersen](https://www.linkedin.com/in/kurta1/), [Cristina Buenahora](https://www.linkedin.com/in/cristina-buenahora-964a0084/), [Michael McAllister](https://www.linkedin.com/in/mpmcallister/) and [Rajalakshmi Srinivasan](https://www.linkedin.com/in/raji-zoho/). There are also 30 other talks for you to check out!

But we’re just getting started here! Prepare yourself for some really exciting SRE news to come soon…

For now though, let us give thanks to our Diamond sponsors, [Blameless](https://www.conf42.com/blameless) and [FireHydrant](https://www.conf42.com/firehydrant), we love you!
"
,Mulesoft <> Conf42 SRE 2022,"Connect everything, empower everyone",2022-05-26,2022-05-26-mulesoft-sre-sponsor-announcement,./assets/splash/BLOG_Mulesoft_SRE_2022.png,"#### [MuleSoft](https://www.mulesoft.com) - Platinum Sponsor of [Conf42 Site Reliability Engineering 2022](https://www.conf42.com/sre2022)

Connect with your customers in a new way – unlock, integrate, and act on data from any system, faster.

FireHydrant is represented at the conference by [Priya Singh](https://www.linkedin.com/in/priyasinghfuqua) in her Keynote [Build the next evolution of composable architecture using GraphQL](https://www.conf42.com/Site_Reliability_Engineering_2022_Priya_Singh_evolution_of_composable_architecture_graphql).

* [Start a free trial](https://www.mulesoft.com/platform/enterprise-integration)
* Check out the [Demos](https://www.mulesoft.com/integration-resources?type[0]=Demo)
* RSVP to Mulesoft [Events](https://www.mulesoft.com/events)
* Read the [Blog](https://blogs.mulesoft.com/bloghome)

#### RSVP for FREE to attend [Conf42 SRE 2022](https://www.conf42.com/sre2022#register)!"
,FireHydrant <> Conf42 SRE 2022,The reliability platform for every developer,2022-05-25,2022-05-25-firehydrant-sre-sponsor-announcement,./assets/splash/BLOG_FireHydrant_SRE_2022.png,"#[FireHydrant](https://firehydrant.com) - Diamond Sponsor of [Conf42 Site Reliability Engineering 2022](https://www.conf42.com/sre2022)

Incidents impact everyone, not just SREs. FireHydrant gives teams the tools to maintain service catalogs, respond to incidents, communicate through status pages, and learn with retrospectives.

FireHydrant is represented at the conference by [Malcolm Preston](https://www.linkedin.com/in/malcolm-preston-7b193/) in his Keynote [We can’t all be Shaq: why it’s time for the SRE hero to pass the ball and how to make it happen](https://www.conf42.com/Site_Reliability_Engineering_2022_Malcolm_Preston_We_cant_all_be_shaq_pass_the_ball_make_it_happen).

* [How FireHydrant Works](https://firehydrant.com/how-it-works)
* [Create your free account](https://app.firehydrant.io/registrations/new)
* [Watch a free demo](https://firehydrant.com/demo)
* Check out the [pricing](https://firehydrant.com/pricing)
* Get inspired while reading the [Blog](https://firehydrant.com/blog)

#### RSVP for FREE to attend [Conf42 SRE 2022](https://www.conf42.com/sre2022#register)!"
,Blameless <> Conf42 SRE 2022,The End-to-End SRE Platform,2022-05-24,2022-05-24-blameless-sre-sponsor-announcement,./assets/splash/BLOG_Blameless_SRE_2022.png,"#[Blameless](https://www.blameless.com) - Diamond Sponsor of [Conf42 SRE 2022](https://www.conf42.com/sre2022)!

Blameless provides engineering teams with an end-to-end SRE platform that empowers teams to optimize reliability without compromising innovation velocity. By streamlining incident response, DevOps and SRE teams continuously learn, improve and stay resilient.

The company is represented at the conference by [Kurt Andersen](https://linkedin.com/in/kurta1) in his Keynote [Implementing a Learning Team: A real-world case-study](https://www.conf42.com/Site_Reliability_Engineering_2022_Kurt_Andersen_learning_team_casestudy).

Drawing! Win Beats Solo3 Headphones (wireless) in the free [Raffle!](http://info.blameless.com/conf42-sre)!

* [Try Blameless Now](https://www.blameless.com/try-now)
* [Schedule Demo](https://www.blameless.com/schedule-demo)
* [Blameless SLO 1-Pager](https://d6d4ismr40iw.cloudfront.net/event/547b9958-3374-4931-bb9e-f2d776583a2e/resources/blamelesssloonepager_v1.pdf?utm_campaign=TS-21Q3-Conf42%3ASRE&utm_source=Conf42-SRE&utm_medium=virtual-booth-slo-1-pager)
* Subscribe to Blameless on [YouTube](https://www.youtube.com/channel/UC1O9RGv3FGJau091DD09ooQ)

#### RSVP for FREE to attend [Conf42 SRE 2022](https://www.conf42.com/sre2022#register)!"
