Panel,Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration,
,no,deep dive,Long Zhang,Senior SRE,Electrolux,Kristina Kondrashevich,"Product Manager, SRE products",Electrolux,Bring Chaos Engineering to Your Organization in a Fun and Continuous Way,"In your organization's journey to adopting chaos engineering, do you face challenges such as developers' lack of understanding about the infrastructure, limited usage of observability tools, and their unfamiliarity with Chaos Engineering? Come and listen to the story of how we address them!",https://www.linkedin.com/in/gluckzhang/,@GluckZhang,https://www.linkedin.com/in/kristina-kondrashevich/,,,Long Zhang & Kristina Kondrashevich_chaos.png,https://youtu.be/_fc0ww_dVE8,"organization,fun,continuous",,
,no,deep dive,Jay Hankins,Lead Member of Technical Staff,Salesforce,,,,Chaos Engineering and Service Ownership at Enterprise Scale,"Hundreds of AWS accounts, tens of thousands of containers. How did Salesforce shift left to empower service owners to take charge of their chaos at scale? And where do Game Days fit in? A platform-driven approach increases speed and accuracy for Service Owners and central ""Game Day""/SRE Teams alike.",https://www.linkedin.com/in/hankinsj/,,,,,Jay Hankins_chaos.png,,"service ownership,enterprise",,
,no,deep dive,Neelanjan Manna,Software Engineer,Harness,Sayan Mondal,Senior Software Engineer,Harness,Chaos Validation Made Easy: Plug & Play with Resilience Probes,"Observability is crucial in Chaos Engineering. Beyond injecting faults, measuring impact, and ensuring SLA compliance are vital. Resilience Probes in Harness Chaos Engineering streamline chaos impact measurement and integrate with various data sources and observability platforms for SLA validation.",https://www.linkedin.com/in/neelanjan00/,@NeelanjanManna,https://www.linkedin.com/in/s-ayanide/,,,Neelanjan Manna & Sayan Mondal_chaos.png,https://youtu.be/_nvpNdvqfvk,"chaos validation,resilience probes",,
,no,deep dive,Eugene Lykov,Senior Software Engineer,Visionis,,,,Shaping Tomorrow: Exploring the Advancements and Persistent Effects of Industrial Equipment Modeling,"Open the future of industrial resilience! Join me at the Chaos Engineering event for a mind-bending journey into shaping tomorrow with cutting-edge Industrial Equipment Modeling. From oil & gas processes to remote control systems, we'll explore advancements, challenges, and the persistent impacts.",https://www.linkedin.com/in/eugenelykov/,,,,,Eugene Lykov_chaos.png,https://youtu.be/aDTeOh-1n-M,"shaping tomorrow,advancements",,
,no,deep dive,David Lavezzo,Director of Security Chaos Engineering,Capital One,,,,Security Chaos Engineering: How to Fix Things (you didn't know were broken) and Make Friends While Doing It,How do we fix a broken industry? We talk about 'traditional approaches aren't enough' while delivering established (traditional) best practices. We fix it by going offensive. Security Chaos Engineering proactively validates our assumptions of how something truly works and provides insights to improve.,https://www.linkedin.com/in/david-lavezzo-44977434/,,,,,David Lavezzo_chaos.png,https://youtu.be/GLISEYuOwmI,"security,fix things",,
,no,deep dive,Kyle Shelton,Senior Devops Engineer,Toyota,,,,Implementing Chaos Engineering in a Risk Averse Culture,"This presentation delves into the art of advocating for Chaos Engineering in environments where conservative leadership prevails. It is tailored to address the challenges of introducing progressive tech practices in risk-averse settings. Attendees will learn effective communication strategies to convey the significance and benefits of Chaos Engineering, overcoming misconceptions and resistance from traditional management structures. The talk will include actionable insights, real-world case studies, and a guide to navigating the cultural and organizational hurdles in advocating for innovative tech solutions.",kyle.shelton@toyota.com,,,,,Kyle Shelton_chaos.png,,"risk,averse,culture",,
,no,lessons learned,Denis Davydov,Software Development Engineer,Meta,,,,The Role of Leadership in Driving Technological Advancements in Big Tech,"Imagine a world where technology continually evolves and improves our lives. That's the power of effective leadership in Big Tech. My speech delves into how visionary leaders drive innovation, balance ethical considerations, and ensure sustainable and responsible growth in this dynamic sector.",https://www.linkedin.com/in/denis-davydov-87a89ba2/,,,,,Denis Davydov_chaos.png,,"leadership,technological,advancements",,
,no,lessons learned,Charles Akl,Head of NA SRE & NAM Core Production Management,Citi Bank,,,,Chaos Engineering at Citi Bank,"This topic will cover Citi's journey to adopting Chaos Engineering and the benefits and challenges encountered. Additionally, a very lightweight guideline model touching on industry tools versus Citi’s in-house products and the value proposition factoring costs, compliance, SDLC, support, etc.",https://www.linkedin.com/in/charlesakl/,@charlesakl,,,,Charles Akl_chaos.png,https://youtu.be/WdpWdyGtLdY,"citi,bank",,
,no,resilience,Saranya Jena,Senior Software Engineer,Harness,Sarthak Jain,Senior Software Engineering,Harness,Embracing Resilience: Unleashing the Power of Chaos Engineering in CD Pipelines,"Unlock resilience in your CD pipeline! Join our talk on Chaos Engineering—proactively injecting controlled failures to fortify systems, identify vulnerabilities, and foster a culture of continuous resilience. Elevate your software delivery game with chaos.",https://www.linkedin.com/in/saranya-jena-7aa24912b/,@JenaSaranya,https://www.linkedin.com/in/sarthak-jain-64896a167/,,,Saranya Jena & Sarthak Jain_chaos.png,https://youtu.be/E7olMKjETFY,"embracing,resilience,power,cd pipelines",,
,no,resilience,Olumide Akinremi,Technical Team Lead,Sabi,,,,Building Resilient Systems with Serverless Web Development,"Embark on a journey through the serverless frontier! Join my talk to uncover the power of serverless web development, exploring resilience, fault tolerance, and Chaos Engineering. Discover best practices for building robust applications in this paradigm shift.",https://www.linkedin.com/in/olumide-akinremi-1b3582127/,,,,,Olumide Akinremi_chaos.png,https://youtu.be/IqKFTe4U-u0,"resilient systems,serverless web development",,
,no,resilience,Matthew Schillerstrom,Senior Product Marketing Manager,Harness / LitmusChaos / OpenFeature,,,,Revolutionizing Software Development: Integrating Chaos Engineering and Feature Flags for Enhanced Reliability and Agile Response,"Explore how the integration of chaos engineering and feature flags is transforming software development. Learn to proactively manage incidents, enhance system resilience, and enable agile feature deployment, while aligning closely with user needs and adapting to evolving industry trends.",https://www.linkedin.com/in/matt-schillerstrom-722b5559/,@schillyvanilly,,,,Matthew Schillerstrom_chaos.png,https://youtu.be/kZh1gIM_6Sc,"feature flags,reliability,agile response",,
,no,resilience,Dhiraj Kumar Jain,Software Engineer,AWS,,,,Chaos Engineering for Developers: Breaking Systems for Resilience,"This talk explores developer techniques to run controlled experiments that build confidence. It will discuss why chaos engineering is not just an SRE thing and how developers should incorporate chaos into software development, making it a practice in their day-to-day work.",https://www.linkedin.com/in/thealgo/,@_TheAlgo_,,,,Dhiraj Kumar Jain_chaos.png,https://youtu.be/v_jSTMcoWvU,"developers,breaking,systems",,
,no,resilience,Gabor Gerencser,Tech Lead,Vodafone UK,,,,Chaos engineering war games – prepare for the unexpected,"Chaos engineering war games is a potent tool to drive resiliency goals. We conducted several war games to prepare for the unexpected. This presentation serves as an introduction to chaos engineering war games, offering a collection of lessons learned to assist organizations in jump-starting their war gaming initiatives.",https://www.linkedin.com/in/gaborgerencser/,,,,,Gabor Gerencser_chaos.png,https://youtu.be/cN5n-D7XKjw,war games,,
,no,tools,Elad Leev,Senior Data Platform Engineer,Dojo,,,,Pushing Your Streaming Platform to the Limit,"Join us in this talk to learn the practical art of stress testing streaming platforms, such as Kafka, Pulsar, NATs, or RabbitMQ, and discover how to optimize performance and scalability for your real-time data needs.",https://www.linkedin.com/in/elad-leev/,@eladleev,,,,Elad Leev_chaos.png,https://youtu.be/i5gjmRuBcgQ,"pushing,streaming platform",,
,no,tools,Ilya Sher,CTO,Beame,,,,Unix shell - We can do better now,"Unix shell is powerful, but it's stuck in the telegraph style communication paradigm. We can do better now. Actually, we could have done better since the 70s. This talk is about how we got here, what's wrong, and how to fix it.",https://www.linkedin.com/in/ilyasher/,@ilya_sher_prog,,,,Ilya Sher_chaos.png,https://youtu.be/J4_DGkKGWIo,unix shell,,
