Panel,Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
,No,devops,Peter De Tender,Business Program Manager - Azure Technical Trainer,Microsoft,,,,DevSecOps as an approach to building and deploying secure applications by “shifting left”,"Security is crucial in today's DevOps world, but it often only kicks in when the data center is already burning. I'll walk you through a massive amount of tools, easy to deploy and integrate into your existing Azure DevOps and GitHub Actions streams, to optimize security from the start.",https://www.linkedin.com/in/pdtit/,pdtit,,,,Peter De Tender_devsecops.png,,"devsecops,applications,shifting",
,No,governance,Graziano Casto,Developer Relations Engineer,Mia-Platform,,,,A Policy-as-Code Approach to RBAC Authorization,"The cloud-native landscape brings advantages but also new security challenges. Manual policy management risks breaches. Policy-as-Code uses code to define and manage policies, preventing violations. Learn to implement PaC with Rönd and Open Policy Agent to secure your APIs with RBAC authorization.",https://www.linkedin.com/in/castograziano/,,,,Graziano Casto - Conf42 DevSecOps 2024.pdf,Graziano Casto_devsecops.png,https://youtu.be/OjgSHChzT4I,"policy,rbac,authorization",
,No,governance,Abhishek Vajarekar,Software Development Manager,,,,,"Designing for Failure: Strategies to Build Resilient, Always-On Services","In a world where system failures are inevitable, resilience is key. This talk explores strategies like redundancy, failover, chaos engineering, and automated recovery to design systems that remain reliable under pressure. Learn how to turn failures into opportunities and ensure seamless user experiences, even in the face of disruption.",https://www.linkedin.com/in/abhishekvajarekar/,,,,Abhishek Vajarekar - Conf42 DevSecOps 2024.pdf,Abhishek Vajarekar_devsecops.png,https://youtu.be/nZwCpAAbHdc,"resilient,always-on,services",
,No,innovation,Spandana Sagam,Senior HIL Development Engineer Autonomous & Automated Driving,General Motors,Govardhan Reddy Kothinti,Functional Safety Manager,APTIV LLC,"Securing the Future of Mobility: Autonomous Vehicles, Safety, and the Path to Smarter Transportation","Discover how autonomous vehicles are set to revolutionize mobility, cut traffic accidents by 94%, and transform cities with safer roads and greener spaces. Explore the tech behind AVs, their economic impact, and the security challenges ahead. Join us to unlock the future of smarter mobility.",https://www.linkedin.com/in/spandana-sagam-71226134/,,https://www.linkedin.com/in/govardhan-reddy-kothinti-94774939/,,Spandana Sagam & Govardhan Reddy Kothinti - Conf42 DevSecOps 2024.pdf,Spandana Sagam & Govardhan Reddy Kothinti_devsecops.png,https://youtu.be/fNMUJ51d17A,"mobility,vehicles,transportation",
,No,innovation,Paul Edward,Senior Fullstack Engineer,Compado,,,,The Race You Don't Want to Win - The Hidden Danger in Financial Transactions,"As the CTO of a fast-growing financial app, I never imagined that a tiny flaw in our system could open the door to attackers. But one day, a hidden issue called a race condition allowed hackers to drain over 70 million in just minutes. We were blindsided.",https://linkedin.com/in/infinitypaul,infinitypaul,,,Paul Edward - Conf42 DevSecOps 2024.pdf,Paul Edward_devsecops.png,https://youtu.be/Rs4wlPzyCgg,"race,financial,transactions",
,No,innovation,Thiyagarajan Aramudhan,Cloud Services Manager,GM Financial,,,,Securing the Kubernetes Ecosystem: A Comprehensive Multi-Level Framework,"Explore Kubernetes security on multiple levels: Start with the Infrastructure, using firewalls and patches. Move to the Cluster with RBAC and Calico. Containers with images scan for vulnerabilities. Secure applications with Istio, and ensure code compliance through reviews and Open Policy Agent.",https://www.linkedin.com/in/thiyagarajan-aramudhan-ba8bb9ab,,,,Thiyagarajan Aramudhan - Conf42 DevSecOps 2024.pdf,Thiyagarajan Aramudhan_devsecops.png,https://youtu.be/WnKxcB9D7Hw,"kubernetes,framework,security",
,No,integration,Joshua Arvin Lat,CTO,NuWorks Interactive Labs,Raphael Joseph Rosario,Information Technology Supervisor,NuWorks Interactive Labs,Breaking Down Silos: A DevSecOps Roadmap for Scalable Security Integration,"In this talk, we will explore various strategies and best practices when rolling out and integrating security into DevOps at scale. We will dive deep into scenarios and roadmaps that allow teams to collaborate effectively and automate security processes without slowing down the development work.",https://www.linkedin.com/in/joshualat,mrjoshualat,https://www.linkedin.com/in/raphael-joseph-rosario-077917166/,,Joshua Arvin Lat & Raphael Joseph Rosario - Conf42 DevSecOps 2024.pdf,Joshua Arvin Lat & Raphael Joseph Rosario_devsecops.png,https://youtu.be/diDyK-tLZA8,"devsecops,roadmap,integration",
,No,integration,Karthik Vallamsetla,Software Engineer,Cisco,,,,Leveraging Modern Web APIs for Secure and Transparent UI/UX Enhancements,"Discover how to supercharge your web applications using cutting-edge APIs while ensuring airtight security! This talk reveals strategies to boost engagement by 50%, optimize performance, and safeguard user data—all using Web APIs and Explainable AI. Stay ahead in DevSecOps and revolutionize UI/UX!",https://www.linkedin.com/in/karthik-script/,,,,Karthik Vallamsetla - Conf42 DevSecOps 2024.pdf,Karthik Vallamsetla_devsecops.png,https://youtu.be/2NfLqX2szrk,"web,api,ui/ux",
,No,integration,Nikhil Bharadwaj Ramashasthri,Staff Software Engineer,Turo,,,,"API-First Development: Building Scalable, Secure, and Future-Ready Systems","Discover how API-first development is reshaping software architecture to deliver scalable, secure, and future-proof systems. Learn best practices, tackle security challenges, and explore real-world examples from leaders like Uber and GitHub.",https://www.linkedin.com/in/nikhilbharadwajramashasthri/,,,,Nikhil Bharadwaj Ramashasthri - Conf42 DevSecOps 2024.pdf,Nikhil Bharadwaj Ramashasthri_devsecops.png,https://youtu.be/pa-mzfFHkV8,"api,development,scalable",
,No,resilience,Indika Wimalasuriya,Associate Director / Senior Systems Engineering Manager,Virtusa,,,,Securing the Future: How AIOps Drives Operational Resilience on AWS,"Unlock the power of AIOps to enhance security in complex systems. Explore how AI and Generative AI automate real-time responses to security threats, transforming operational resilience. Discover strategies and real-world implementations that drive measurable impact across your organization.",https://www.linkedin.com/in/indika-wimalasuriya/,,,,Indika Wimalasuriya - Conf42 DevSecOps 2024.pdf,Indika Wimalasuriya_devsecops.png,https://youtu.be/N-0zJKx0KhE,"aiops,resilience,aws",
,No,resilience,Nagarjuna Malladi,Principal Software Engineer SRE,Oracle,,,,Enhancing System Reliability with Secure SRE Practices: An Expertise-Driven Approach to DevSecOps,"Discover how Site Reliability Engineering (SRE) and DevSecOps combine to create resilient, secure systems! In this talk, we’ll explore cutting-edge strategies like AI-driven security, chaos engineering, and cloud-native tools to enhance system reliability and performance.",https://www.linkedin.com/in/nag-malladi/,,,,Nagarjuna Malladi - Conf42 DevSecOps 2024.pdf,Nagarjuna Malladi_devsecops.png,https://youtu.be/D11iEyeg7MI,"reliability,sre,practices",
,No,security,Ramon Izaguirre Bilbao,Founder & CEO,Internet2.ai,,,,Introducing the power of Rating in Cybersecurity,"Never presented before at the time of writing. The idea is original, and the talk is about applying the power of rating to cybersecurity and its benefits, such as enhancing the security perimeter, getting closer to malicious attackers, and all the implications of embracing this approach. Really a disruptive talk.",https://www.linkedin.com/in/ramon-izaguirre-bilbao-2b9272/,ramonizaguirre_,,,Ramon Izaguirre Bilbao - Conf42 DevSecOps 2024.pdf,Ramon Izaguirre Bilbao_devsecops.png,https://youtu.be/8FZRHFqd3w4,"rating,cybersecurity,power",
,No,security,Anirudha Karandikar,Principal Engineer,Fortune 500 Company,,,,"API Security in DevSecOps: Built-In, Not Bolted On","Discover how generative AI can revolutionize API governance in DevSecOps. Learn how to combat API sprawl, boost security, and streamline operations with AI-driven strategies. From intelligent API discovery to automated documentation, this session equips you to create a secure, scalable API ecosystem.",https://www.linkedin.com/in/anirudha-karandikar-024647a8/,,,,Anirudha Karandikar - Conf42 DevSecOps 2024.pdf,Anirudha Karandikar_devsecops.png,https://youtu.be/JFmwafZWm8Q,"api,security",
,No,security,Anthony Laiuppa,Senior Software Engineer,Morning Consult,,,,From Pain to Gain: Vulnerability Management that developers won't hate,"Is every critical vulnerability truly critical? Can we consolidate scanning and automation to improve triage, ticketing, and remediation? In the modern era, where developers can ship code faster than we can remediate vulnerabilities, it's time to rethink vulnerability management to fit the cloud and DevOps culture.",https://www.linkedin.com/in/anthony-laiuppa-52a43085/,,,,Anthony Laiuppa - Conf42 DevSecOps 2024.pdf,Anthony Laiuppa_devsecops.png,https://youtu.be/uJ2HJpJ2e3E,"vulnerability,management,developers",
,No,security,Deepu K Sasidharan,Senior Developer Advocate,Okta,,,,Mastering Kubernetes Security: From Containers to Cluster Fortresses,"Kubernetes is everywhere, but it brings security headaches. We'll turn those headaches into headway. Learn best practices for securing clusters, Docker containers, and apps. Discover how to use OAuth for secure access and master secret management. Get ready to elevate your Kubernetes security game!",https://www.linkedin.com/in/deepu05/,deepu105,,,Deepu K Sasidharan - Conf42 DevSecOps 2024.pdf,Deepu K Sasidharan_devsecops.png,https://youtu.be/y0jrcNUw2nQ,"kubernetes,security,containers",
